t.day,sp,numbr,small,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc,max_type,tlp
240.6419711,CADE,5732.1,small,7,CADE 5732.1 7 MPa,CADE 5732.1,275,6.08,-0.070118318,0.966064742,-19.28253731,-0.664151473,v18,79.17742691,NA,
240.6642185,CADE,5732.1,small,9,CADE 5732.1 9 MPa,CADE 5732.1,275,6.08,-0.035326868,0.987944484,-9.714888816,-0.334611448,v18,89.50921348,NA,
233.6042179,PILA,6728.1,small,2,PILA 6728.1 2 MPa,PILA 6728.1,280,6.09,-0.518435217,0.999993367,-145.1618608,-4.98342653,v18,1.572852279,native,
233.6225703,PILA,6728.1,small,2,PILA 6728.1 2 MPa,PILA 6728.1,280,6.09,-0.518435217,0.999993367,-145.1618608,-4.98342653,v18,1.572852279,native,
234.4720133,PILA,6728.1,small,0,PILA 6728.1 0 MPa,PILA 6728.1,279,6.09,-0.528607625,0.999997221,-147.4815273,-5.063061001,v18,0,vacuum,
233.6331857,PILA,6728.2,small,2,PILA 6728.2 2 MPa,PILA 6728.2,280,7.7,-0.783785089,0.992918233,-219.459825,-4.712850862,v18,13.65975726,native,
234.4247215,PILA,6728.2,small,0,PILA 6728.2 0 MPa,PILA 6728.2,279,7.7,-0.91104024,0.999786168,-254.180227,-5.458463763,v18,0,vacuum,
233.598358,PILA,7161.1,small,2,PILA 7161.1 2 MPa,PILA 7161.1,280,6.51,-0.504092032,0.999829261,-141.145769,-4.240489633,v18,1.085119338,native,
234.5093849,PILA,7161.1,small,0,PILA 7161.1 0 MPa,PILA 7161.1,279,6.51,-0.511448642,0.999887815,-142.6941711,-4.287008795,v18,0,vacuum,
232.5761783,CADE,7596.1,small,2,CADE 7596.1 2 MPa,CADE 7596.1,28,3.63,-0.15476882,0.998766822,-4.333526958,-0.41873414,v18,88.20082548,native,
232.6265296,CADE,7596.1,small,2,CADE 7596.1 2 MPa,CADE 7596.1,28,3.63,-0.15476882,0.998766822,-4.333526958,-0.41873414,v18,88.20082548,native,
232.6332426,CADE,7596.1,small,0,CADE 7596.1 0 MPa,CADE 7596.1,28,3.63,-0.147708798,0.998675658,-4.135846349,-0.399632928,v18,88.73906328,flush,
233.4585548,CADE,7596.1,small,0,CADE 7596.1 0 MPa,CADE 7596.1,280,3.63,-0.150806773,0.999103914,-42.22589651,-4.080146412,v18,-14.97118328,vacuum,
